cohort_not_russia,purchase_date,user_id
01.04.2020,01.04.2020,713383
01.04.2020,01.04.2020,713383
01.04.2020,01.04.2020,202523
01.04.2020,01.04.2020,202523
01.04.2020,01.04.2020,202523
01.04.2020,01.04.2020,202523
01.04.2020,01.04.2020,202523
01.04.2020,01.04.2020,713383
01.04.2020,01.04.2020,713383
01.04.2020,01.04.2020,31709
01.04.2020,01.04.2020,205629
01.04.2020,01.04.2020,46634
01.04.2020,01.04.2020,205629
01.04.2020,01.04.2020,206900
01.04.2020,01.04.2020,206900
01.04.2020,01.04.2020,707079
01.04.2020,01.04.2020,707079
01.04.2020,01.04.2020,707079
01.04.2020,01.04.2020,707079
01.04.2020,01.04.2020,707079
01.04.2020,01.04.2020,703228
01.04.2020,01.04.2020,703228
01.04.2020,01.04.2020,703228
01.04.2020,01.04.2020,703228
01.04.2020,01.04.2020,703228
01.04.2020,01.04.2020,703228
01.04.2020,01.04.2020,703228
01.04.2020,01.04.2020,703228
01.04.2020,01.04.2020,703228
01.04.2020,01.04.2020,703228
01.04.2020,01.04.2020,703228
01.04.2020,01.04.2020,703228
01.04.2020,01.04.2020,703228
01.04.2020,01.04.2020,703228
01.04.2020,01.04.2020,703228
01.04.2020,01.04.2020,703228
01.04.2020,01.04.2020,703228
01.04.2020,01.04.2020,703228
01.04.2020,01.04.2020,703228
01.04.2020,01.04.2020,703228
01.04.2020,01.04.2020,703228
01.04.2020,01.04.2020,703228
01.04.2020,01.04.2020,703228
01.04.2020,01.04.2020,703228
01.04.2020,01.04.2020,703228
01.04.2020,01.04.2020,703228
01.04.2020,01.04.2020,703228
01.04.2020,01.04.2020,703228
01.04.2020,01.04.2020,702745
01.04.2020,01.04.2020,702745
01.04.2020,01.04.2020,702745
01.04.2020,01.04.2020,702745
01.04.2020,01.04.2020,702745
01.04.2020,01.04.2020,699686
01.04.2020,01.04.2020,699686
01.04.2020,01.04.2020,699686
01.04.2020,01.04.2020,699686
01.04.2020,01.04.2020,699686
01.04.2020,01.04.2020,699686
01.04.2020,01.04.2020,699686
01.04.2020,01.04.2020,699686
01.04.2020,01.04.2020,699686
01.04.2020,01.04.2020,699686
01.04.2020,01.04.2020,699686
01.04.2020,01.04.2020,699686
01.04.2020,01.04.2020,699686
01.04.2020,01.04.2020,699686
01.04.2020,01.04.2020,699686
01.04.2020,01.04.2020,699686
01.04.2020,01.04.2020,699686
01.04.2020,01.04.2020,699686
01.04.2020,01.04.2020,699686
01.04.2020,01.04.2020,699686
01.04.2020,01.04.2020,699686
01.04.2020,01.04.2020,699686
01.04.2020,01.04.2020,699686
01.04.2020,01.04.2020,699686
01.04.2020,01.04.2020,699686
01.04.2020,01.04.2020,699686
01.04.2020,01.04.2020,699686
01.04.2020,01.04.2020,699686
01.04.2020,01.04.2020,202523
01.04.2020,01.04.2020,423026
01.04.2020,01.04.2020,46634
01.04.2020,01.04.2020,423026
01.04.2020,01.04.2020,46634
01.04.2020,01.04.2020,423026
01.04.2020,01.04.2020,46634
01.04.2020,01.04.2020,423026
01.04.2020,01.04.2020,424913
01.04.2020,01.04.2020,424913
01.04.2020,01.04.2020,699686
01.04.2020,01.04.2020,699686
01.04.2020,01.04.2020,699686
